Name_MOF_CoRE_1272,PLD_angstrom,LCD_angstrom,unit_cell_volume_angstrom3,void_fraction,Henry's constant: mol/(m^3 Pa),D0 in a: m^2/s,D0 in b: m^2/s,D0 in c: m^2/s
WAHREE_clean,2.68095,4.59357,2667.01,0.35666,7.6672988434,2.25E-10,0,0
WAHROP_clean,4.59707,5.72059,5274.32,0.519,3.0720788579,4.68E-14,2.86E-09,4.13E-12
WAJGIY_clean,3.09205,4.8441,2436.97,0.39366,0.62045227555,2.77E-10,8.05E-09,0
WAJHOG_clean,6.19917,7.07045,2983.34,0.55562,0.53996420228,9.55E-09,0,0
WAJLEA_charged,3.57495,4.55794,4117.79,0.46628,0.85608180256,0,0,4.52E-16
WAKLAW_clean,3.31855,4.84824,3455.4,0.47234,0.51671374926,0,0,4.52E-09
WAKSOT_clean,2.2508,3.06111,1849.26,0.36464,6.0966808326,0,0,0
WAKTOS_clean,4.29975,5.39746,1206.98,0.38918,0.06608628781,0,0,6.68E-08
WALBOC01_clean,2.78558,3.52609,3011.98,0.4402,4.7971803929,0,2.14E-08,0
WALBOC02_clean,2.78364,3.80962,3006.54,0.44662,4.4342337256,0,2.08E-08,1.10E-306
WALBOC_clean,2.75467,3.78966,3002.22,0.44476,4.2857903789,0,1.65E-08,0
WALCET_clean,2.86319,3.84048,3021.87,0.4515,4.6740780088,0,4.54E-08,1.85E-286
WALKAY_clean,3.41374,4.24171,3104.44,0.47682,3.7083126213,1.12E-07,0,0
WALMOO_clean,2.92612,4.24293,1767.97,0.46068,2.8709167744,0,3.56E-18,1.69E-14
WAMREJ_clean,10.44633,15.54715,8159.47,0.76924,0.10978076418,2.60E-08,3.28E-08,3.43E-08
WAMRIN01_clean,6.24171,6.89811,5830.73,0.56948,0.61847063807,7.84E-08,0,0
WAMRIN02_clean,5.33712,7.15865,2851.57,0.55586,0.83655830508,0,7.58E-08,0
WAMRIN_clean,5.68277,7.26878,2888.74,0.56814,0.76553178358,7.78E-111,4.33E-08,0
WANBIY_clean,5.68149,9.57183,17801.1,0.49262,0.021232613798,3.89E-09,2.21E-112,1.08E-07
WANBOE_clean,6.28246,8.53159,7946.77,0.5652,0.016688140449,2.08E-08,7.46E-08,1.32E-26
WANHAX_clean,3.38494,10.8061,11564.9,0.62272,2.1692190163,0,0,1.42E-09
WANHEB_clean,4.15132,10.95393,11516.5,0.66854,1.1584271839,0,0,1.28E-09
WANHIF_clean,5.88814,11.00178,11535.3,0.72502,0.45041729883,0,0,4.23E-09
WANHOL_clean,4.44668,11.01416,11663.8,0.6981,0.67396995883,0,0,3.50E-09
WANHUR_clean,4.06145,9.77573,11599.1,0.6641,1.7265964845,0,0,9.78E-10
WANJIF_clean,3.21281,4.04503,1566.29,0.45236,7.9536195357,9.69E-164,6.84E-08,0
WANKOO_clean,3.56656,5.04088,7857.14,0.40424,0.33573082674,6.74E-08,0,0
WANNEH_clean,3.67768,4.39761,3692.59,0.39032,13.227773157,0,0,8.27E-08
WANNIL_clean,3.66325,4.22335,3650.64,0.38714,13.598847814,0,0,1.72E-07
WANRIM01_clean,2.62584,4.7206,913.051,0.44506,145.11150522,2.99E-10,1.57E-60,2.60E-216
WANRIM_clean,2.63598,4.79683,918.667,0.44148,143.12228097,3.20E-10,1.21E-57,1.93E-204
WAPSUE_clean,4.96608,6.84727,6491.89,0.62774,0.017832401514,0,0,6.93E-08
WAPTAL_clean,4.96684,6.73608,6455.29,0.61028,0.019676301183,3.21E-269,2.62E-09,1.01E-07
WAPTEP_clean,4.90177,6.32334,6381.89,0.60264,0.020704049644,0,0,1.95E-11
WAPTIT_clean,4.91166,6.33157,6309.04,0.6052,0.021477521374,0,1.63E-09,1.29E-11
WAPXUI_clean,6.09241,11.81918,40311.7,0.68652,0.097108277237,0,0,0
WAQDOJ_charged,5.72539,9.57793,4984.46,0.66504,0.27975957709,4.68E-08,4.72E-08,4.71E-08
WAQFAX_clean,7.4991,8.98867,17873.1,0.69624,0.19431540073,0,0,0
WAQFAY_clean,4.19596,6.97842,3141.68,0.49416,14.754576301,0,0,3.74E-08
WAQFIG_clean,6.01434,8.0634,3122.07,0.74816,0.093667947445,5.51E-08,4.77E-08,1.69E-08
WAQKUX_clean,6.68404,11.44215,15533.6,0.72952,0.30166598826,0,4.51E-09,2.02E-07
WAQQUB_clean,2.51237,3.75331,5453.54,0.27644,1227.0177142,0,0,0
WAQTEQ_clean,6.80616,11.87476,15754.6,0.72466,0.077556587891,6.65E-08,0,2.56E-09
WARFAY01_clean,5.25411,7.65437,4267.4,0.6037,664.57958696,3.74E-09,3.86E-09,6.11E-10
WARFAY02_clean,5.18486,7.59329,4248.19,0.61228,11.931444173,1.13E-08,1.14E-08,2.87E-08
WARFAY03_clean,5.25104,7.67142,4278.82,0.6147,5.0315624654,2.31E-08,2.31E-08,4.14E-08
WARFAY04_clean,5.30577,7.76566,4306.54,0.61728,4.8100612772,2.49E-08,2.62E-08,3.79E-08
WARFAY05_clean,5.38272,7.93305,4345.13,0.63004,1.884069168,1.71E-08,1.71E-08,1.62E-08
WARFAY06_clean,5.44834,8.00177,4368.29,0.6331,1.83081319,2.10E-08,2.08E-08,6.40E-09
WARFAZ_clean,5.12306,5.80322,7020.42,0.4478,0.26404853444,0,0,2.83E-09
WARFIG_clean,5.25371,7.6571,4263.96,0.60284,674.96138568,3.62E-09,3.58E-09,6.00E-10
WARJAC_clean,5.28632,5.58017,2007.48,0.64744,0.069281433109,6.98E-12,1.25E-08,1.35E-07
WARWOC_clean,2.7209,3.50194,1091.76,0.31212,0.092490329028,0,0,0
WARXUL_clean,6.29757,9.27886,15291,0.71492,0.39457854546,0,3.15E-09,3.30E-09
WASMIP01_clean,2.85251,4.52353,2280.59,0.41816,0.67070189907,0,0,0
WASMIP_clean,2.72563,4.48205,2257.65,0.41284,0.83681509374,0,0,0
WASMUB01_clean,7.55623,9.03678,4534.14,0.50802,50.535470734,0,4.72E-10,3.21E-09
WASMUB02_clean,6.33605,6.91366,4627.24,0.50158,21.882816402,1.11E-10,1.60E-79,2.84E-08
WASMUB_clean,7.34862,8.85352,4491.56,0.5037,50.504627698,0,5.25E-10,2.12E-08
WASNIO_clean,2.96417,3.607,1867.12,0.38718,5.2585641707,0,0,0
WASNOU_clean,2.8244,4.29807,2432,0.45728,0.77432240738,0,0,6.61E-10
WASPAK_clean,7.99892,9.06355,4527.15,0.5846,1.5904669568,2.30E-39,1.42E-08,1.70E-09
WASQEP_clean,4.53821,7.91117,18396.7,0.68814,0.38418678772,0,0,0
WASQIT_clean,4.13506,8.09933,18731.6,0.69336,0.44389821618,0,0,1.72E-08
WASTUG_clean,7.15135,10.02675,5415.92,0.69472,0.017073530547,6.01E-08,6.04E-08,2.58E-08
WASVES_clean,4.46441,7.54181,3774.45,0.6306,0.019727840944,0,1.32E-08,1.84E-07
WATPIT_clean,2.30647,3.62596,1545.47,0.43592,0.22776037968,0,0,0
WAVQAN_clean,3.5797,4.68105,4805.68,0.5228,1.4386177626,1.25E-10,1.28E-10,1.16E-10
WAVQER_clean,3.56529,4.67485,4813.54,0.5167,1.3912814849,1.16E-09,1.16E-09,7.79E-10
WAVQIV_ion_b,7.75085,10.34064,19972.9,0.71644,0.0383883339,2.73E-09,1.08E-07,3.40E-08
WAVQOB_clean,7.79955,10.10259,19978.4,0.75688,0.052897895146,3.40E-08,3.47E-08,3.79E-08
WAVQUF_clean,2.86859,3.93869,1994.16,0.50278,0.75724184911,0,2.63E-36,2.78E-09
WAVQUH_clean,4.28284,7.85896,5261.95,0.5915,0.65423450088,0,0,0
WAVRAO_clean,3.87711,14.31257,9301.6,0.66158,0.5193332033,5.75E-08,6.74E-08,5.76E-08
WAVREQ_clean,2.35099,3.93672,4223.36,0.52732,0.68850952041,4.08E-31,1.68E-18,0
WAVRES_clean,3.81812,14.48686,27494.1,0.65394,1.1476766175,0,0,0
WAVRIW_clean,3.85844,14.24752,26823.3,0.63594,1.891889168,0,5.56E-09,0
WAVROC_clean,7.87879,18.49411,27705.6,0.77424,0.07518191752,0,6.93E-08,1.42E-08
WAVWEW_clean,3.26558,3.64837,1209.01,0.40348,1.5394505442,0,0,1.34E-07
WAWGOQ_clean,6.67332,8.9577,8796.55,0.69736,0.58046742966,3.36E-08,3.48E-08,6.29E-09
WAXHUB_clean,2.36537,4.68336,1411.34,0.50666,0.80211594004,1.63E-25,1.63E-25,1.63E-25
WAXJAJ01_clean,2.80523,3.89069,1383.81,0.48866,0.44059366972,0,1.85E-71,3.78E-97
WAXJAJ_clean,2.94294,4.04182,1409.66,0.49848,0.52515020617,1.45E-113,1.50E-60,9.51E-82
WAYKAK_clean,6.23266,8.26471,1556.94,0.59118,3.1955200176,1.65E-09,2.10E-17,0
WAYMAM_clean,6.70173,7.01659,1468.89,0.6137,0.14007368055,5.99E-08,1.26E-46,0
WAYMEQ_SL,6.03097,6.6659,1410.81,0.56178,1.2416776288,0,6.81E-08,0
WAYMIU_manual,6.84371,7.00909,1409.8,0.57998,1.367376865,2.84E-08,0,0
WAYMOA_manual,6.54122,6.892,1447.15,0.58416,0.91895730141,3.48E-08,0,0
WAZCUX_clean,4.24523,4.92316,1740.01,0.40162,0.67534932151,9.63E-08,0,2.46E-195
WAZQIZ_clean,4.01209,4.7631,2695.89,0.5077,5.4797225902,0,1.90E-08,2.41E-08
WAZQUL_clean,3.39475,5.45815,2808.83,0.52742,2.3490859728,0,4.58E-240,2.54E-15
WAZRAS_clean,3.43496,5.51179,2856.43,0.53278,2.1457242709,0,4.12E-306,5.35E-14
WEBJIY_clean,16.21244,16.78146,21153,0.68594,0.31647476005,0,3.03E-08,0
WEBJOE_clean,16.79731,19.03335,21119.8,0.77314,0.16936877687,1.05E-08,5.54E-09,2.17E-08
WEBJUK_clean,16.52248,18.23414,21183.7,0.71798,0.27990467016,2.66E-08,0,5.23E-09
WEBKAR_clean,5.6471,7.11264,28979.1,0.7272,0.079445809474,8.69E-09,8.68E-09,8.69E-09
WEBKEV_clean,5.65517,7.0417,28979.4,0.72684,0.15270826773,0,0,0
WEBKIX_charged,4.07582,6.30704,9670.53,0.49966,0.99072079665,0,9.30E-08,5.52E-08
WEBKOD_clean,4.60752,5.98718,2466.97,0.55526,0.65309235219,0,7.42E-08,1.66E-107
WEBLAQ_charged,4.11406,6.15279,9785.52,0.49228,1.8143001644,0,1.18E-07,7.07E-08
WEBQIF_clean,3.17764,3.79749,2582.42,0.51236,0.54407073624,3.87E-08,2.66E-18,2.27E-16
WEBQOL_clean,2.37716,4.52479,1301.49,0.52124,0.58932130719,2.00E-17,2.01E-17,4.75E-20
WEBREC_clean,3.26608,5.11536,2672.88,0.43964,4.1580556809,0,0,0
WEBROK01_clean,2.71166,3.66857,750.254,0.32634,201.70311079,0,0,0
WEBROK_clean,2.73183,3.6695,748.556,0.3279,188.82073014,0,0,0
WEBZEK_charged,2.39083,4.06641,10740.9,0.42352,2.3906565365,0,0,0
WECBAJ_clean,2.88031,3.38386,2289.82,0.33944,1.2870151017,0,7.41E-31,0
WECBEN_clean,4.24775,5.81639,2643.39,0.69962,0.038673735245,7.17E-08,2.09E-07,1.30E-07
WECBOX_clean,3.61825,4.62255,4173.91,0.50534,0.4672390019,0,1.40E-07,0
WECFAN01_clean,3.17995,3.71385,1727.64,0.40452,1.9051368272,4.96E-08,0,0
WECFAN_clean,4.09308,4.57842,1899.42,0.4603,0.55880355764,7.63E-08,1.02E-07,4.13E-239
WECJIZ_clean,4.60343,5.74106,11921.7,0.49226,1.3380987216,0,0,0
WECSAZ01_clean,2.61264,4.73785,830.874,0.48918,2.7775991246,0,5.43E-55,0
WECSAZ_clean,2.48609,4.77614,833.223,0.48424,2.1210471994,0,2.52E-26,0
WEDQED_clean,3.68867,4.8766,2760.37,0.44746,2.4879116771,0,0,1.23E-07
WEDWUZ_clean,3.04937,4.42162,2761.08,0.37202,0.36041139553,0,0,0
WEDXAG_clean,3.04389,4.72226,2739.99,0.37434,0.3545341137,0,0,0
WEDXEK_clean,2.94041,4.46533,2727.33,0.3652,0.37726492542,0,0,0
WEFCAN_clean,4.96001,5.19121,2477.4,0.60664,1.1631264219,1.05E-07,1.53E-08,9.22E-10
WEFDAO_clean,2.29499,3.10312,5311.75,0.27332,1.4567120371,0,2.90E-188,1.40E-23
WEFDIW_clean,2.28747,3.11257,5282.5,0.26994,1.4689696515,0,1.07E-189,1.42E-28
